OTU	CIMDEC_plaque_1_B25	CIMDEC_plaque_1_B8	CIMDEC_plaque_1_B5	CIMDEC_plaque_1_B6	CIMDEC_plaque_1_B1	CIMDEC_plaque_1_B3	CIMDEC_plaque_1_B27	CIMDEC_plaque_1_B9	CIMDEC_plaque_1_B11	CIMDEC_plaque_1_B2	CIMDEC_plaque_1_B7	CIMDEC_plaque_1_B10	CIMDEC_plaque_1_B4	CIMDEC_plaque_1_B31	CIMDEC_plaque_1_B12	CIMDEC_plaque_1_B29
KP004456.1	12	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
JN383482.1	128	0	0	0	0	1	19	3	0	1	0	0	0	0	0	2
KM265189.1	17	0	0	39	0	0	12	0	0	0	0	0	0	3	0	0
MF952667.1	5	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0
MH018134.1	28	0	0	0	0	0	13	184	0	0	0	0	0	18	0	0
MH858205.1	42	0	0	0	0	0	13	159	0	0	0	5	0	13	0	0
MG826989.1	11	0	0	0	0	0	3	13	0	0	0	0	0	0	0	0
MT441588.1	10	0	0	0	0	0	2	48	0	0	0	0	0	2	0	0
MF795575.1	1	3	0	0	0	0	2	0	0	0	0	2	0	5	0	1487
KY696717.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MF164487.1	58	0	0	0	0	0	30	406	0	0	0	0	0	31	0	0
MT658095.1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN033448.1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
FJ150872.1	29	0	0	0	0	0	4	40	0	0	0	0	109	17	0	0
KC343056.1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU291797.1	21	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
KY263783.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MH514027.1	68	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1
KJ490633.1	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
MG971803.1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KX037028.1	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1
MF962599.1	18	0	0	0	0	0	3	57	0	0	0	0	0	3	0	0
KP859038.1	19	0	0	0	0	0	4	61	0	0	0	0	0	4	0	0
OM778769.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY242705.1	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0
OM189455.1	19	0	0	0	0	0	4	56	0	0	0	0	0	4	0	0
MG736181.1	14	0	0	0	0	0	6	88	0	0	0	0	0	11	0	0
MW766990.1	23	0	0	0	0	0	5	101	0	0	0	0	0	5	0	0
MK096314.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ770386.1	10	0	0	0	0	0	4	18	0	0	0	0	0	2	0	0
MK539966.1	4	0	0	0	0	0	1	16	0	0	0	0	0	2	0	0
MG591897.1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0
KR873256.1	17	0	0	0	0	0	8	83	0	0	0	0	0	9	0	0
MT707332.1	28	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0
MH857619.1	12	0	0	0	0	0	0	15	0	0	0	152	0	26	0	0
FJ860793.1	12	0	0	0	0	0	2	30	0	0	0	0	0	4	0	0
MN906214.1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
MH107884.1	7	241	0	0	0	0	0	0	0	0	0	0	1	28	0	0
KT600411.1	11	0	0	0	0	0	0	77	0	0	1	0	4	2	0	3
MH101502.1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ847042.1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
KR859279.1	23	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0
KJ707164.1	3	0	0	0	0	0	0	6	0	0	0	4	0	5	0	0
MW114346.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ852842.1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
KM231823.1	3	0	0	0	0	0	2	13	0	0	0	0	0	3	0	0
AF222850.1	19	0	0	0	0	0	9	210	0	0	0	0	0	20	0	67
MK995628.1	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GQ303276.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AB035046.1	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
DQ202520.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT626599.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY552328.1	7	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
KJ846807.1	1	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0
MW396857.1	5	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0
MW016616.1	12	0	0	0	0	0	3	316	0	0	0	0	0	3	0	0
MG591901.1	6	0	0	0	0	0	4	0	7	0	0	0	0	3	0	0
MK656244.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KC584220.1	19	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
MF183941.1	15	0	0	0	0	0	4	61	0	0	0	0	0	6	0	0
MK205289.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN383490.1	8	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
MW016393.1	2	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0
KY173420.1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
KR011352.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF455494.1	1	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0
DQ368755.1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KX833535.1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AY787678.2	3	0	0	0	0	0	0	3	0	0	0	3	0	9	0	0
KX887211.1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF600943.1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
KX858631.1	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
KT598374.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DQ825985.1	8	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
LT217559.1	3	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0
MG682082.1	7	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0
KU845893.1	16	0	0	0	0	0	4	17	0	0	0	0	0	0	0	0
KX239841.1	19	0	0	0	0	0	28	0	0	0	0	0	1	0	0	0
KY979772.1	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
KY173432.2	20	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0
FJ790287.1	5	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
OK664738.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JQ044436.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KY979755.1	13	0	0	0	0	0	0	11	0	0	0	0	0	2	0	3
GU237762.1	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
EU196536.1	1	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0
HG779023.1	5	0	0	0	0	0	1	35	0	0	1	0	0	1	0	0
MH864156.1	6	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
HG931724.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY743636.1	5	0	0	0	0	0	3	0	2	0	0	3	246	30	0	718
AB179837.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MW724098.1	6	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0
MW202909.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KJ570692.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG520945.1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
AF141170.1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LR583793.1	7	0	0	0	0	0	4	46	0	0	0	0	0	5	0	0
LM644067.1	1	0	0	0	0	0	0	0	0	0	0	0	259	23	0	0
KP744447.1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KJ590728.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY015439.1	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
KX833588.1	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
HQ630308.1	17	0	0	1	0	0	7	29	0	0	0	0	0	0	0	0
MH013190.1	1	0	0	0	0	0	0	11	0	0	0	0	0	3	0	0
AF284387.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY236422.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG865518.1	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KR909390.1	1	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
MW045555.1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HQ847021.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AF222840.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KT933645.1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4
MF169524.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC343118.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT177932.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC343135.1	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
MH798901.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU040211.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EF512473.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MW114348.1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AB694922.1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MF190146.1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
KY173392.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT300294.1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MH865223.1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MT537019.1	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
HQ857111.1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MH856898.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MT185512.1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC584209.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF767353.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
